,Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Total_amount_spent,Total_accept_campaign,Year,children,Status_Divorced,Status_Married,Status_Single,Status_Together
2057,1,42192.0,40,1,2,1,3,4,0,0,72,60,0,2013,0,0,1,0,0
583,2,61794.0,74,2,4,4,10,2,0,0,59,347,0,2013,1,0,1,0,0
772,1,72258.0,28,2,6,9,5,2,0,0,49,1003,0,2013,1,0,0,1,0
2085,2,49912.0,5,4,10,5,7,8,0,1,71,354,1,2012,1,0,0,0,1
889,1,64090.0,8,1,6,9,4,5,0,1,64,481,0,2013,1,0,0,0,1
939,2,57937.0,56,3,4,4,9,3,0,0,38,422,0,2014,1,0,1,0,0
1645,3,25358.0,57,2,1,0,3,6,0,0,73,13,0,2013,1,1,0,0,0
1832,2,84953.0,73,1,3,10,4,2,0,1,67,857,3,2013,0,1,0,0,0
1890,3,59292.0,71,2,3,5,8,3,0,0,70,129,0,2013,1,0,0,0,1
1113,1,70566.0,4,2,6,5,9,3,0,0,52,376,0,2013,1,0,0,1,0
318,1,34421.0,81,1,1,0,2,7,0,0,46,27,0,2013,1,0,1,0,0
1762,3,51012.0,86,1,4,1,4,6,0,0,74,107,0,2013,0,0,1,0,0
1370,2,57420.0,22,3,5,1,6,7,0,0,49,42,1,2013,1,0,0,0,1
812,2,25804.0,34,2,2,0,3,8,0,0,42,47,0,2013,1,0,1,0,0
1725,2,75342.0,38,1,5,2,10,4,0,0,62,359,0,2013,1,0,0,1,0
1654,1,43602.0,45,3,3,1,2,6,0,0,54,49,0,2014,2,0,0,1,0
343,1,84835.0,0,1,4,4,6,1,0,1,50,1001,0,2014,0,1,0,0,0
398,1,42373.0,83,5,2,1,5,5,0,0,46,96,0,2013,2,0,0,1,0
584,1,53863.0,4,3,7,1,7,7,0,0,65,74,1,2014,1,0,0,0,1
1744,3,51569.0,39,4,7,1,7,8,0,1,71,87,1,2013,1,1,0,0,0
1161,1,77142.0,54,1,4,4,8,2,0,0,72,514,0,2013,0,0,1,0,0
292,2,55951.0,62,3,3,6,11,8,0,0,68,133,2,2012,1,0,0,0,1
1242,1,65106.0,55,3,8,3,13,6,0,0,45,183,1,2014,1,0,1,0,0
1128,2,49669.0,97,2,5,1,6,6,0,0,46,160,0,2014,1,0,0,0,1
1041,1,35196.0,68,6,6,1,5,8,0,1,36,422,0,2012,1,0,0,0,1
1187,2,43641.0,50,3,2,1,4,6,0,0,51,82,0,2013,2,0,1,0,0
141,2,65104.0,4,2,3,5,7,7,0,1,44,315,0,2013,1,0,0,0,1
1723,1,37244.0,90,1,1,1,2,7,0,0,65,37,1,2013,2,1,0,0,0
2,1,71613.0,26,1,8,2,10,4,0,0,55,350,0,2013,0,0,0,0,1
1053,2,62845.0,3,11,3,4,10,8,0,0,71,79,1,2012,2,0,1,0,0
576,3,45207.0,64,5,3,1,6,6,0,0,46,12,1,2012,2,0,1,0,0
2104,2,43018.0,46,1,2,2,2,5,0,0,46,98,0,2013,1,0,0,0,1
339,3,59292.0,71,2,3,5,8,3,0,0,70,129,0,2013,1,0,0,0,1
963,1,84219.0,27,1,3,4,10,1,0,0,32,764,0,2014,0,0,1,0,0
265,1,72940.0,13,1,3,3,6,1,0,0,50,799,0,2013,0,0,1,0,0
376,3,33581.0,38,1,1,0,2,8,0,0,51,6,0,2013,2,0,1,0,0
998,1,36130.0,46,6,3,8,4,4,0,1,66,331,1,2013,1,0,0,1,0
439,1,30279.0,13,1,1,0,3,8,0,0,31,27,0,2012,1,0,0,1,0
271,1,33378.0,38,3,2,0,4,7,0,0,57,66,0,2013,2,1,0,0,0
1894,1,29819.0,77,3,3,0,3,6,0,0,49,30,0,2013,1,1,0,0,0
244,1,75027.0,74,2,9,4,6,5,0,0,67,465,0,2013,1,0,1,0,0
1767,1,29760.0,87,4,3,1,4,8,0,0,35,101,0,2012,1,0,0,1,0
1735,3,58086.0,80,2,11,3,7,8,0,0,51,84,0,2013,1,1,0,0,0
855,1,7500.0,94,1,0,0,3,6,0,0,33,15,0,2013,0,0,1,0,0
1027,1,79593.0,70,1,5,6,7,2,0,0,47,1016,1,2014,0,0,1,0,0
607,2,45006.0,90,1,3,1,7,3,0,0,76,104,0,2013,0,1,0,0,0
415,2,49505.0,4,9,10,2,8,8,0,0,49,147,0,2013,2,0,1,0,0
273,1,60714.0,56,2,7,4,10,5,0,1,64,741,0,2013,0,0,0,1,0
2077,2,87000.0,61,1,4,6,7,2,0,0,28,765,0,2012,0,0,1,0,0
250,2,26490.0,92,2,3,1,5,6,0,0,62,165,0,2012,0,0,0,0,1
413,1,80134.0,11,1,2,7,11,5,0,0,26,412,4,2014,0,0,0,0,1
1565,2,27161.0,41,1,1,0,3,7,0,0,34,45,0,2013,1,0,1,0,0
1583,1,74268.0,83,1,4,3,5,2,0,0,65,693,0,2013,0,0,1,0,0
310,2,70893.0,42,1,6,6,10,3,0,0,44,740,0,2013,0,0,0,1,0
1622,3,73059.0,36,1,9,3,13,4,0,0,73,685,0,2013,1,0,0,0,1
2123,0,16005.0,69,3,2,1,2,8,0,0,40,102,0,2012,1,0,1,0,0
425,1,61314.0,1,2,5,5,12,3,0,0,52,630,0,2013,1,0,1,0,0
2163,1,71965.0,21,3,6,3,5,3,0,0,69,641,0,2013,1,0,1,0,0
767,3,6835.0,76,0,0,0,1,20,0,0,63,30,0,2012,1,0,0,0,1
2040,2,81044.0,0,1,5,6,10,1,0,0,73,758,0,2013,0,0,1,0,0
721,2,56962.0,60,7,6,3,5,7,0,0,55,119,0,2013,3,0,1,0,0
1641,3,56551.0,48,3,2,1,4,4,0,0,70,71,0,2014,2,1,0,0,0
1750,1,77981.0,78,3,7,4,7,5,0,0,48,526,0,2013,1,0,1,0,0
1248,3,55158.0,72,4,7,2,5,7,0,1,50,125,0,2012,2,0,1,0,0
2118,3,82333.0,60,1,4,3,10,2,0,1,34,511,1,2013,0,0,1,0,0
526,2,47682.0,80,4,4,3,8,5,0,0,45,359,0,2013,1,1,0,0,0
808,3,65968.0,12,2,5,4,7,3,0,0,50,119,0,2014,1,0,0,0,1
973,2,46779.0,55,1,0,1,2,4,0,0,60,11,0,2013,2,1,0,0,0
182,2,30477.0,16,1,1,1,3,6,0,0,36,19,0,2014,1,0,1,0,0
170,1,28718.0,78,2,2,0,3,8,0,0,38,45,0,2013,1,0,1,0,0
1475,1,19107.0,49,2,1,0,3,7,0,0,40,44,0,2013,1,0,1,0,0
1247,1,68118.0,51,2,8,9,4,6,0,0,57,333,0,2013,1,1,0,0,0
187,1,74068.0,14,1,4,10,9,2,0,0,44,798,0,2013,0,0,1,0,0
619,2,72635.0,54,1,6,8,6,3,0,0,65,591,1,2013,0,0,1,0,0
2007,1,36790.0,14,1,2,1,2,9,0,1,37,63,0,2013,0,0,1,0,0
158,1,55375.0,3,1,1,1,6,2,0,0,43,120,0,2013,1,0,0,0,1
1518,3,82032.0,54,0,4,6,7,1,0,0,72,902,0,2014,0,1,0,0,0
272,3,66313.0,86,2,6,3,12,4,0,0,57,145,0,2013,1,0,0,0,1
614,2,30522.0,6,5,1,2,9,2,0,0,60,147,0,2012,1,0,1,0,0
2130,1,19346.0,26,1,1,0,3,8,0,0,46,20,0,2014,1,1,0,0,0
1103,1,76773.0,79,1,2,2,11,1,0,0,66,640,0,2013,0,1,0,0,0
1170,1,54386.0,8,2,3,2,10,3,0,0,39,193,0,2013,1,0,1,0,0
371,2,46098.0,86,4,3,2,2,8,0,0,45,63,0,2012,2,0,0,1,0
222,1,63887.0,38,5,9,6,12,6,0,0,58,348,0,2012,1,1,0,0,0
593,2,42169.0,20,2,1,0,3,8,0,0,51,11,0,2013,2,0,1,0,0
1922,3,67472.0,93,2,4,2,7,3,0,0,73,252,0,2013,1,0,1,0,0
782,1,40780.0,30,4,7,1,5,9,0,0,44,148,0,2012,1,1,0,0,0
1992,3,28420.0,36,1,1,0,2,6,0,0,53,9,0,2013,1,1,0,0,0
1961,1,55686.0,27,2,6,3,5,4,0,0,54,309,1,2013,1,1,0,0,0
136,0,9548.0,31,2,1,0,3,8,0,0,44,29,0,2012,1,1,0,0,0
518,1,42691.0,48,1,5,1,6,5,0,0,29,179,0,2013,0,0,1,0,0
1572,1,34633.0,31,1,1,0,2,6,0,0,64,7,0,2014,3,0,0,0,1
334,1,30675.0,14,1,1,0,3,8,0,0,48,52,0,2012,1,0,1,0,0
2031,1,49767.0,92,1,5,4,8,4,0,0,29,490,0,2013,0,0,0,1,0
1880,1,42081.0,86,2,6,3,4,6,0,0,38,207,1,2013,1,0,1,0,0
1761,3,25509.0,15,3,3,0,3,9,0,1,46,61,0,2012,1,1,0,0,0
2134,1,65333.0,58,7,9,4,8,6,0,0,47,144,2,2014,1,0,0,1,0
710,1,25851.0,45,2,2,0,3,7,0,0,42,39,0,2013,1,0,0,0,1
15,3,82800.0,23,1,7,6,12,3,0,1,74,309,2,2012,0,0,0,1,0
986,1,64449.0,70,4,5,3,12,4,0,0,31,587,0,2014,1,0,0,1,0
2159,1,41967.0,66,1,1,0,3,4,0,0,39,31,0,2013,2,0,0,1,0
1869,3,69702.0,8,2,7,7,10,4,0,0,69,375,0,2013,1,0,0,0,1
2049,1,59462.0,29,2,9,2,12,7,0,0,70,364,0,2013,1,0,1,0,0
570,2,36959.0,56,2,2,0,3,8,0,0,39,37,0,2013,1,0,1,0,0
654,1,56253.0,83,4,7,2,9,6,0,0,57,88,0,2012,1,0,0,0,1
1067,1,46610.0,4,1,6,1,6,6,0,0,62,179,0,2013,0,0,0,0,1
1171,1,28510.0,72,3,2,0,4,5,0,0,39,47,0,2013,2,1,0,0,0
465,3,49269.0,92,3,7,3,12,7,0,0,49,251,0,2012,1,0,0,0,1
1822,1,44911.0,11,3,4,1,4,7,0,0,61,56,0,2013,1,0,0,0,1
199,1,75922.0,60,1,4,4,9,1,0,0,52,1030,0,2013,0,0,0,1,0
2227,2,69245.0,8,2,6,5,10,3,0,0,64,415,0,2014,1,0,0,0,1
1453,1,57957.0,24,7,4,6,8,3,1,0,61,347,0,2013,1,0,0,0,1
2200,2,41769.0,31,6,8,1,7,8,0,0,65,219,0,2013,1,1,0,0,0
1862,1,69932.0,97,2,7,6,11,4,0,0,56,637,0,2013,1,1,0,0,0
1366,3,56242.0,72,5,8,4,11,6,0,0,51,282,0,2013,1,0,1,0,0
1084,3,39190.0,91,2,2,1,4,5,0,0,46,65,0,2014,1,0,0,1,0
1714,3,82571.0,28,0,6,5,13,2,0,0,58,825,1,2014,0,1,0,0,0
1573,2,78093.0,53,1,4,7,5,1,0,0,73,737,0,2013,0,0,0,0,1
1132,1,49678.0,81,2,6,2,4,7,0,0,59,86,0,2013,1,0,1,0,0
591,2,17459.0,12,3,3,1,2,7,0,1,45,63,0,2013,1,0,0,0,1
1190,2,70091.0,11,2,5,2,10,8,0,0,51,197,1,2013,1,0,1,0,0
1697,2,58656.0,25,4,7,8,13,6,0,0,64,258,1,2012,1,0,0,0,1
1719,2,74881.0,48,4,9,2,12,5,0,0,59,459,0,2013,2,0,0,0,1
1610,1,69139.0,23,1,4,1,5,4,0,0,55,141,0,2014,1,0,1,0,0
2089,2,81929.0,60,2,4,4,10,6,0,1,44,567,2,2012,1,0,1,0,0
1933,1,23763.0,64,1,1,0,3,7,0,0,43,20,0,2012,1,0,0,1,0
43,3,51381.5,80,1,1,3,4,2,0,0,61,105,0,2013,0,0,0,1,0
1255,2,73450.0,85,1,7,8,11,3,0,0,38,662,2,2013,0,0,0,0,1
274,2,77882.0,29,1,3,3,5,1,0,0,39,750,0,2014,0,0,0,0,1
2022,1,67225.0,4,3,7,2,11,5,0,0,65,553,0,2013,1,0,1,0,0
101,3,34554.0,43,2,2,0,3,6,0,0,61,14,0,2014,1,0,0,1,0
1552,1,39922.0,30,2,3,0,4,8,0,0,37,127,0,2013,1,0,1,0,0
2056,1,67046.0,92,2,4,5,4,2,0,0,69,449,0,2013,1,1,0,0,0
1200,1,18351.0,1,1,2,0,3,7,0,0,30,42,0,2013,0,0,1,0,0
107,1,52413.0,56,4,6,4,12,6,0,0,51,615,0,2013,2,0,1,0,0
997,3,36930.0,50,5,5,2,4,8,0,0,66,74,0,2013,1,0,1,0,0
497,2,48330.0,2,1,1,0,3,5,0,0,59,4,0,2013,1,0,0,0,1
2217,1,57967.0,39,5,4,2,8,5,0,0,58,239,0,2013,1,0,0,1,0
990,1,26091.0,84,3,2,1,3,5,0,0,63,74,0,2014,2,0,0,0,1
1553,2,49681.0,66,6,7,1,7,7,0,0,44,47,0,2013,2,0,1,0,0
1064,1,70713.0,23,6,5,6,8,3,0,0,54,741,0,2012,1,0,0,0,1
1718,0,23529.0,67,1,1,1,2,6,0,0,55,45,0,2013,1,0,0,1,0
1512,3,87188.0,73,1,10,2,6,3,0,1,37,1013,0,2013,0,0,0,1,0
1337,1,33249.0,11,2,2,1,3,6,0,0,45,106,0,2013,1,0,0,1,0
1566,1,42014.0,56,6,7,1,6,8,0,1,43,192,0,2012,1,0,1,0,0
2043,1,76320.0,49,2,6,3,4,2,0,0,61,406,0,2014,1,1,0,0,0
891,3,37087.0,50,3,4,2,8,6,0,0,46,207,0,2013,1,0,1,0,0
1424,1,92533.0,84,1,6,5,11,2,0,0,35,438,2,2013,0,0,1,0,0
712,1,45160.0,9,1,1,0,2,7,0,0,62,13,0,2014,2,0,0,1,0
72,1,65031.0,29,4,10,3,13,7,0,0,61,605,0,2013,1,0,1,0,0
500,2,50943.0,49,1,1,0,3,5,0,0,64,15,0,2013,1,0,0,0,1
1463,1,34380.0,68,4,4,1,3,8,0,0,43,103,0,2013,1,0,1,0,0
1410,1,36026.0,34,2,2,0,3,6,0,0,48,41,0,2014,3,0,1,0,0
2054,1,42554.0,93,2,2,0,3,4,0,0,42,12,0,2013,2,0,0,0,1
481,3,78825.0,35,1,5,10,13,3,0,1,56,412,0,2012,0,1,0,0,0
1293,1,94384.0,62,0,5,8,5,2,0,1,67,1191,3,2013,0,0,0,0,1
506,3,39665.0,97,3,4,2,3,7,0,0,39,89,1,2013,1,0,0,0,1
1005,1,30168.0,51,7,6,1,4,9,0,0,42,125,0,2013,1,0,0,1,0
1402,3,69389.0,17,1,7,2,12,4,0,0,43,375,0,2012,1,0,1,0,0
1505,1,79529.0,1,1,4,8,9,2,0,0,34,1215,0,2014,0,0,1,0,0
2222,1,26816.0,50,1,0,0,3,4,0,0,34,17,0,2012,0,0,0,1,0
1094,2,54210.0,18,2,4,1,7,5,0,0,41,297,0,2013,1,0,1,0,0
1821,1,29236.0,30,2,4,0,3,9,0,0,33,62,0,2013,1,0,0,1,0
962,1,44010.0,46,6,10,2,6,9,0,0,40,476,0,2012,1,0,0,0,1
1731,1,55761.0,97,2,4,1,3,6,0,0,56,48,1,2014,1,0,0,0,1
2198,0,14918.0,52,1,1,0,3,6,0,0,57,40,0,2012,1,0,0,0,1
311,1,54198.0,13,6,3,1,6,4,0,0,54,50,0,2013,2,0,1,0,0
1121,0,16581.0,51,1,0,0,3,4,0,0,35,23,0,2013,0,0,0,1,0
405,1,50437.0,28,3,7,1,8,7,0,0,57,120,0,2012,2,0,1,0,0
2079,1,30828.0,16,2,1,1,4,3,0,0,40,40,0,2013,1,0,0,1,0
1521,1,19740.0,65,2,1,1,3,5,0,0,60,48,0,2013,1,0,0,0,1
1259,3,53378.0,41,10,9,4,6,8,0,1,57,304,0,2012,2,0,1,0,0
2157,2,91172.0,94,0,4,3,7,3,0,1,30,930,4,2013,0,0,0,1,0
1381,1,75507.0,56,1,8,6,6,3,0,0,41,731,0,2014,0,0,0,0,1
309,1,51381.5,69,1,6,5,12,3,0,0,31,750,2,2013,0,0,1,0,0
226,3,79930.0,72,1,3,5,8,2,0,0,48,961,0,2012,0,0,1,0,0
743,3,83443.0,89,1,6,10,5,2,0,0,48,979,0,2013,0,0,0,0,1
806,2,52750.0,72,6,5,7,9,4,0,0,65,467,0,2013,1,0,1,0,0
2059,1,31761.0,96,2,3,0,4,5,0,0,36,79,0,2014,1,0,1,0,0
1927,3,54998.0,3,5,4,2,9,4,0,1,64,301,0,2013,1,0,0,1,0
1488,1,32952.0,36,1,2,0,3,7,0,0,43,17,0,2013,1,1,0,0,0
1855,1,69109.0,10,1,6,6,7,4,0,1,38,732,1,2012,0,0,1,0,0
1318,1,24711.0,86,1,3,0,3,7,0,0,38,48,0,2014,0,0,1,0,0
1264,2,64191.0,30,3,5,3,13,3,0,0,57,405,0,2013,1,0,0,1,0
1563,1,38998.0,92,3,2,0,3,8,1,0,66,20,0,2012,2,0,1,0,0
148,2,35688.0,94,7,4,1,4,8,0,0,47,138,0,2012,3,0,1,0,0
905,3,52278.0,24,6,10,5,10,8,0,1,57,245,0,2013,1,1,0,0,0
2070,2,51381.5,83,2,4,1,4,6,0,0,66,46,0,2013,1,0,0,0,1
1086,3,38578.0,2,3,3,0,3,8,0,0,48,35,0,2013,2,0,0,1,0
291,1,29672.0,6,1,0,0,3,6,0,0,55,16,0,2013,2,0,0,0,1
692,1,78468.0,29,1,10,7,10,4,0,0,60,570,1,2014,0,0,0,0,1
818,2,78353.0,51,1,10,2,11,8,0,0,61,824,0,2013,1,1,0,0,0
704,2,55250.0,49,4,7,5,10,5,0,0,55,239,0,2012,1,0,0,1,0
1112,2,47025.0,98,5,11,1,6,9,0,0,42,127,0,2013,1,0,1,0,0
2111,2,37509.0,24,2,3,0,4,7,0,0,44,86,0,2012,1,0,0,0,1
1817,3,54111.0,97,2,5,2,6,5,0,0,55,121,0,2013,1,1,0,0,0
575,2,54603.0,85,6,4,2,4,7,0,0,64,82,0,2013,2,0,0,0,1
557,1,81741.0,75,0,6,6,7,2,0,0,40,1323,0,2013,0,0,0,1,0
1336,0,24367.0,58,1,1,0,2,9,0,0,38,22,0,2013,1,0,0,1,0
701,3,66375.0,96,3,2,4,5,7,0,0,72,236,1,2013,1,0,0,0,1
1454,3,46015.0,25,1,1,0,3,7,0,0,65,8,2,2014,2,0,0,0,1
1397,3,36947.0,49,4,3,0,4,9,0,0,53,58,0,2012,2,0,1,0,0
1419,3,43269.0,61,1,1,0,2,8,0,0,48,9,0,2013,1,0,1,0,0
1728,1,77437.0,70,1,4,5,13,1,0,0,57,565,1,2013,0,0,1,0,0
1157,3,40344.0,48,2,4,1,5,7,0,0,46,8,0,2013,1,0,1,0,0
748,2,63855.0,28,1,7,3,13,4,0,0,42,647,0,2013,0,0,0,0,1
1403,1,80134.0,40,2,5,3,6,6,0,1,48,472,3,2013,1,0,1,0,0
903,3,78420.0,75,1,3,10,8,1,0,0,54,849,0,2013,0,0,0,1,0
167,1,66951.0,46,1,3,4,7,1,0,0,32,840,0,2013,0,0,0,1,0
730,2,70545.0,29,1,4,1,7,2,0,0,68,196,0,2014,1,0,0,0,1
1231,1,28691.0,56,1,1,0,3,8,0,0,31,29,0,2013,1,0,1,0,0
286,2,35416.0,62,3,7,1,5,8,0,0,71,142,0,2013,0,1,0,0,0
1089,1,79803.0,54,1,4,3,5,1,0,0,62,294,0,2014,1,1,0,0,0
1945,3,61798.0,13,1,4,2,9,4,0,0,56,125,0,2013,0,0,0,1,0
2114,2,53230.0,86,4,5,2,12,5,0,0,64,556,0,2012,1,0,1,0,0
873,1,24762.0,16,3,3,1,2,8,0,1,48,80,1,2014,1,0,0,1,0
628,2,32218.0,27,1,2,1,3,7,0,1,60,83,1,2014,0,0,0,1,0
598,1,72906.0,79,1,3,4,9,1,0,0,65,751,0,2013,0,0,0,1,0
1185,1,58401.0,55,1,1,2,2,4,0,0,60,86,0,2014,1,1,0,0,0
377,1,19986.0,74,1,0,0,3,7,0,0,35,19,0,2013,1,0,1,0,0
1988,3,56559.0,46,3,4,3,8,4,0,0,45,258,0,2012,1,0,0,0,1
1428,1,60544.0,92,4,5,1,5,6,0,0,59,88,0,2012,2,0,1,0,0
1926,2,34984.0,40,2,1,0,3,7,0,0,45,30,0,2012,2,0,0,0,1
1782,3,48918.0,21,2,1,0,4,4,0,0,57,10,0,2014,2,0,0,1,0
1480,1,76998.0,85,2,11,8,8,6,0,0,65,461,1,2013,1,0,1,0,0
1102,1,66480.0,71,7,4,1,7,4,0,0,55,113,0,2014,2,0,1,0,0
41,2,20559.0,88,2,2,0,3,8,0,0,35,40,0,2013,1,0,1,0,0
1776,1,46904.0,20,4,5,1,4,8,0,0,53,100,0,2012,2,0,0,1,0
925,3,64950.0,29,2,11,2,10,7,0,0,69,147,1,2012,1,0,0,1,0
1451,3,38410.0,65,2,5,2,9,6,0,1,46,381,0,2012,0,0,1,0,0
1330,1,40049.0,23,1,1,0,3,6,0,0,68,19,0,2013,1,1,0,0,0
1075,1,79456.0,12,1,5,6,4,3,0,1,64,836,0,2012,0,0,1,0,0
944,3,52190.0,39,3,2,1,3,5,0,0,44,35,1,2014,2,0,0,0,1
926,0,25443.0,82,1,1,0,3,8,0,0,31,31,0,2012,1,0,1,0,0
609,1,22574.0,28,2,2,0,3,7,0,0,53,12,0,2013,3,0,1,0,0
1459,1,83844.0,57,1,4,4,11,1,0,0,68,673,1,2013,0,0,0,0,1
1576,1,81361.0,18,1,3,10,13,1,0,1,33,615,0,2014,0,1,0,0,0
1982,2,39791.0,89,2,3,1,4,7,0,0,49,89,0,2013,1,0,1,0,0
1057,3,65526.0,22,1,4,4,8,2,0,0,56,109,0,2014,1,0,1,0,0
1232,1,44213.0,48,4,2,1,5,6,0,0,68,57,0,2013,2,0,0,1,0
493,3,78642.0,83,1,4,9,4,6,0,0,49,420,0,2013,1,0,0,0,1
2116,1,84906.0,98,1,5,6,12,2,0,0,48,634,3,2013,0,0,0,0,1
277,0,24480.0,46,3,3,0,4,7,0,0,39,98,0,2013,1,0,1,0,0
757,1,75127.0,92,1,2,11,5,1,0,0,68,630,0,2014,0,0,0,1,0
2147,2,34176.0,9,1,1,0,3,3,0,0,45,17,0,2014,1,0,0,0,1
358,1,28442.0,53,3,2,1,4,4,0,0,42,38,0,2014,2,0,1,0,0
1343,1,70515.0,12,1,6,6,4,2,0,1,27,838,0,2013,0,0,0,1,0
236,1,7500.0,54,4,3,1,3,7,0,0,47,52,0,2013,1,0,0,1,0
551,1,43462.0,50,6,4,1,5,8,0,0,68,150,0,2012,2,0,0,0,1
520,1,25545.0,35,3,2,2,3,6,0,1,33,178,0,2012,1,0,1,0,0
1871,3,70643.0,66,1,5,8,4,6,0,1,36,610,0,2012,0,0,1,0,0
208,1,46097.0,11,5,3,1,6,4,0,0,64,169,0,2013,1,0,0,0,1
1681,1,49090.0,45,3,7,2,9,7,0,0,69,194,0,2013,1,0,0,1,0
881,1,51195.0,46,8,9,2,5,8,0,0,58,334,0,2013,2,0,0,0,1
720,2,75012.0,41,1,3,8,11,1,0,0,44,733,0,2014,0,1,0,0,0
